square_id,timestamp,internet,datetime
5161,1387152000000,150.11688,2013-12-16 00:00:00
5161,1387152600000,158.15477,2013-12-16 00:10:00
5161,1387153200000,154.65268,2013-12-16 00:20:00
5161,1387153800000,141.91383,2013-12-16 00:30:00
5161,1387154400000,168.92906,2013-12-16 00:40:00
5161,1387155000000,163.30508,2013-12-16 00:50:00
5161,1387155600000,167.88774,2013-12-16 01:00:00
5161,1387156200000,158.60046,2013-12-16 01:10:00
5161,1387156800000,157.33727,2013-12-16 01:20:00
5161,1387157400000,178.83533,2013-12-16 01:30:00
5161,1387158000000,159.58441,2013-12-16 01:40:00
5161,1387158600000,164.87721,2013-12-16 01:50:00
5161,1387159200000,183.44765,2013-12-16 02:00:00
5161,1387159800000,192.81326,2013-12-16 02:10:00
5161,1387160400000,171.25977,2013-12-16 02:20:00
5161,1387161000000,179.20323,2013-12-16 02:30:00
5161,1387161600000,172.20694,2013-12-16 02:40:00
5161,1387162200000,183.6231,2013-12-16 02:50:00
5161,1387162800000,189.03038,2013-12-16 03:00:00
5161,1387163400000,186.4161,2013-12-16 03:10:00
5161,1387164000000,190.35101,2013-12-16 03:20:00
5161,1387164600000,176.90228,2013-12-16 03:30:00
5161,1387165200000,187.53082,2013-12-16 03:40:00
5161,1387165800000,189.50922,2013-12-16 03:50:00
5161,1387166400000,210.16354,2013-12-16 04:00:00
5161,1387167000000,202.35814,2013-12-16 04:10:00
5161,1387167600000,189.03387,2013-12-16 04:20:00
5161,1387168200000,215.02458,2013-12-16 04:30:00
5161,1387168800000,204.5495,2013-12-16 04:40:00
5161,1387169400000,196.20515,2013-12-16 04:50:00
5161,1387170000000,211.70824,2013-12-16 05:00:00
5161,1387170600000,199.4909,2013-12-16 05:10:00
5161,1387171200000,205.85454,2013-12-16 05:20:00
5161,1387171800000,212.14133,2013-12-16 05:30:00
5161,1387172400000,214.59816,2013-12-16 05:40:00
5161,1387173000000,198.87607,2013-12-16 05:50:00
5161,1387173600000,213.99364,2013-12-16 06:00:00
5161,1387174200000,203.48837,2013-12-16 06:10:00
5161,1387174800000,217.80064,2013-12-16 06:20:00
5161,1387175400000,223.39807,2013-12-16 06:30:00
